accession	ambiguous_bases	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	gtdb_type_designation	gtdb_type_designation_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count
GB_GCA_002503125.1	0	98.4	0.8	188	p__Euryarchaeota (UID3)	125	0	1639333	76.5767566919	82	813388	38.1554875474	2140771	GB_GCA_002498385.1	f	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_C;s__Methanobacterium_C sp002498385	not type material	none	f	18	4	103127	313220	none	0	none	none	none	0	none	none	none	none	none	none	none	none	25997	93077	f	f	t	41679	211728	Scaffold	ASM250312v1	n/a	PRJNA348753	SAMN06027348	82	41679	none	2017-10-10	GCA_002503125.1	derived from metagenome	full	UBA418	none	none	0	0	Methanobacterium sp. UBA418	0	na	0	none	none	none	none	none	2017/10/10	59	1915462	0	UBA418	University of Queensland	1915462	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp. UBA418	8999	2140771	none	0	none	2131772	0	DARB00000000.1	2026	23	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	8999	20	41	0
GB_GCA_002497145.1	0	77.08	0.8	188	p__Euryarchaeota (UID3)	125	0	1514651	93.7238796642	92	567305	35.3195447411	1616078	GB_GCA_002720095.2	f	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-I;s__MGIIa-I sp002720095	not type material	none	f	14	12	135387	135387	35574	2	1130	DAMT01000031.1-#2	51778	1	112	DAMT01000057.1	1139	1243	0	86.831	AACY020563516.73.2783	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;marine metagenome	17458	24862	f	f	t	34484	42129	Scaffold	ASM249714v1	n/a	PRJNA348753	SAMN06027265	92	34484	none	2017-10-10	GCA_002497145.1	derived from metagenome	full	UBA68	none	none	0	0	Euryarchaeota archaeon UBA68	0	na	0	none	none	none	none	none	2017/10/10	27	1915972	0	UBA68	University of Queensland	1915972	d__Archaea;p__Euryarchaeota;c__;o__;f__;g__;s__	d__Archaea;p__Euryarchaeota;x__unclassified Euryarchaeota;x__Marine Group II;s__Euryarchaeota archaeon UBA68	9867	1616078	none	0	none	1606211	0	DAMT00000000.1	1342	65	79893	1	558	725	0	90.143	148407	k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__Marine group II;g__;s__	556	DAMT01000008.1	558	725	0	90.143	DQ156348.18592.20063	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;uncultured marine group II euryarchaeote HF70_59C08	9871	18	31	0
GB_GCA_002503185.1	0	85.68	0	188	p__Euryarchaeota (UID3)	125	0	1408875	77.3681617967	288	660303	37.7010083247	1821001	GB_GCA_002494495.1	f	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__UBA419;s__UBA419 sp002494495	not type material	none	f	22	5	92659	356022	56164	2	1584	DARD01000023.1	56164	1	115	DARD01000023.1	1588	2281	0	92.632	JQLY01000001.1945851.1948807	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;Methanobacterium sp. SMA-27	6081	60700	f	f	t	19109	109845	Scaffold	ASM250318v1	n/a	PRJNA348753	SAMN06027632	288	19109	none	2017-10-10	GCA_002503185.1	derived from metagenome	full	UBA322	none	none	0	0	Methanobacterium sp. UBA322	0	na	0	none	none	none	none	none	2017/10/10	258	1915437	0	UBA322	University of Queensland	1915437	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium sp. UBA322	69577	1821001	none	0	none	1751424	0	DARD00000000.1	1806	30	148510	1	1413	2481	0	98.372	565906	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__beijingense	1473	DARD01000003.1	1439	2531	0	98.402	FJ167436.1.1440	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;uncultured archaeon	69581	20	42	0
GB_GCA_002506705.1	0	54.21	0	188	p__Euryarchaeota (UID3)	125	0	1053371	91.4732337469	132	514340	45.2818693804	1151562	GB_GCA_002506705.1	t	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Poseidoniaceae;g__MGIIa-K1;s__MGIIa-K1 sp002506705	not type material	none	f	23	18	46932	65988	none	0	none	none	none	0	none	none	none	none	none	none	none	none	8605	13085	f	f	t	14282	18795	Scaffold	ASM250670v1	n/a	PRJNA348753	SAMN06027280	132	14282	none	2017-10-10	GCA_002506705.1	derived from metagenome	full	UBA550	none	none	0	0	Euryarchaeota archaeon UBA550	0	na	0	none	none	none	none	none	2017/10/10	44	1915928	0	UBA550	University of Queensland	1915928	d__Archaea;p__Euryarchaeota;c__;o__;f__;g__;s__	d__Archaea;p__Euryarchaeota;x__unclassified Euryarchaeota;x__Marine Group II;s__Euryarchaeota archaeon UBA550	15699	1151562	none	0	none	1135863	0	DAYA00000000.1	1028	88	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	15699	13	20	0
GB_GCA_002497265.1	0	71.22	1.6	188	p__Euryarchaeota (UID3)	125	0	1151737	88.5123607456	210	481943	38.0186771091	1301216	GB_GCA_002686525.1	f	d__Archaea;p__Thermoplasmatota;c__Poseidoniia;o__Poseidoniales;f__Thalassoarchaeaceae;g__MGIIb-O2;s__MGIIb-O2 sp002686525	not type material	none	f	32	23	38646	56820	none	0	none	none	none	0	none	none	none	none	none	none	none	none	6036	11121	f	f	t	10388	16717	Scaffold	ASM249726v1	n/a	PRJNA348753	SAMN06027401	210	10388	none	2017-10-10	GCA_002497265.1	derived from metagenome	full	UBA9	none	none	0	0	Euryarchaeota archaeon UBA9	0	na	0	none	none	none	none	none	2017/10/10	93	1915982	0	UBA9	University of Queensland	1915982	d__Archaea;p__Euryarchaeota;c__;o__;f__;g__;s__	d__Archaea;p__Euryarchaeota;x__unclassified Euryarchaeota;x__Marine Group II;s__Euryarchaeota archaeon UBA9	33568	1301216	none	0	none	1267648	0	DANH00000000.1	1201	117	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	33568	15	30	0
GB_GCA_002687735.1	0	72.43	0	149	k__Archaea (UID2)	107	0	512518	92.863950484	18	195024	35.3402942125	551902	GB_GCA_002687735.1	t	d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__Iainarchaeales;f__Iainarchaeaceae;g__UBA493;s__UBA493 sp002687735	not type material	none	f	4	4	119174	119174	none	0	none	none	none	0	none	none	none	none	none	none	none	none	30658	30661	f	f	t	49461	49485	Contig	ASM268773v1	n/a	PRJNA391943	SAMN07618689	18	49485	none	2017-10-24	GCA_002687735.1	derived from metagenome	full	ARS1427	none	none	0	0	Candidatus Diapherotrites archaeon	612	na	1	none	none	none	none	none	2017/10/24	0	2026736	0	ARS1427	Tara Oceans Consortium	2026736	d__Archaea;p__Candidatus Diapherotrites;c__;o__;f__;g__;s__	d__Archaea;x__DPANN group;p__Candidatus Diapherotrites;x__unclassified Diapherotrites;s__Candidatus Diapherotrites archaeon	0	551902	11	24	none	551902	0	NZBD00000000.1	630	18	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	56	16	25	0
GB_GCA_002503455.1	0	95.59	0.98	228	p__Euryarchaeota (UID49)	153	0	2195023	73.8072189092	380	1182976	40.3444661991	2973995	GB_GCA_002499445.1	f	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp002499445	not type material	none	f	66	38	69139	119209	27541	1	2886	DARU01000159.1	27541	1	117	DARU01000159.1	2889	4678	0	95.916	CP000099.2197717.2200611	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina barkeri str. Fusaro	7716	16802	t	f	f	13661	24925	Scaffold	ASM250345v1	n/a	PRJNA348753	SAMN06027514	380	13661	none	2017-10-10	GCA_002503455.1	derived from metagenome	full	UBA591	none	none	0	0	Methanosarcina sp. UBA591	0	na	0	none	none	none	none	none	2017/10/10	203	1915594	0	UBA591	University of Queensland	1915594	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp. UBA591	41800	2973995	none	0	none	2932195	0	DARU00000000.1	2622	177	27541	1	1437	2610	0	99.443	4357079	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__	1439	DARU01000159.1	1439	2628	0	99.653	AB494248.1.1448	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;uncultured archaeon	41806	19	47	0
RS_GCF_000189895.1	0	92.8	0	188	p__Euryarchaeota (UID3)	125	0	1543494	90.0908441431	33	533314	31.1285359408	1713264	RS_GCF_000016525.1	f	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter_A;s__Methanobrevibacter_A smithii	not type material	none	f	5	5	224844	224844	179000	1	2978	NZ_AELP01000005.1	none	0	none	none	2978	5500	0	100	AELL01000052.325.3316	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter smithii TS145B	51917	51917	f	f	t	139646	139646	Contig	ASM18989v2	n/a	PRJNA224116	SAMN02436666	33	139646	none	2011-2-17	GCA_000189895.2	none	full	none	none	none	0	0	Methanobrevibacter smithii TS146D	1628	na	3	none	none	none	none	none	2011/02/17	0	2173	1	TS146D	Washington University in St.Louis	911121	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter smithii	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter smithii;x__Methanobrevibacter smithii TS146D	0	1713264	11	34	none	1713264	0	AELP00000000.1	1698	33	179000	1	1474	2723	0	100	470690	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	1475	NZ_AELP01000005.1	1474	2723	0	100	ABYW01000015.50.1525	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;Methanobrevibacter smithii DSM 2375	0	20	34	0
GB_GCA_002780595.1	0	71.35	0	149	k__Archaea (UID2)	107	0	439372	84.710137523	74	161909	31.2344945463	518677	GB_GCA_002789275.1	f	d__Archaea;p__Huberarchaeaota;c__Huberarchaeia;o__Huberarchaeales;f__Huberarchaeaceae;g__Huberarchaeum;s__Huberarchaeum crystalense	not type material	none	f	12	12	62527	62534	none	0	none	none	23400	1	104	PEUT01000049.1	none	none	none	none	none	none	7004	7979	f	f	t	13016	13016	Scaffold	ASM278059v1	n/a	PRJNA362739	SAMN06659194	74	13016	none	2017-11-16	GCA_002780595.1	derived from metagenome	full	CG03_land_8_20_14_0_80_31_114	none	none	0	0	archaeon (Candidatus Huberarchaea) CG03_land_8_20_14_0_80_31_114	498	na	1	none	none	none	none	none	2017/11/16	9	2014257	0	CG03_land_8_20_14_0_80_31_114	None	2014257	d__Archaea;p__;c__;o__;f__;g__;s__	d__Archaea;x__unclassified Archaea;x__unclassified Archaea (miscellaneous);s__archaeon (Candidatus Huberarchaea) CG03_land_8_20_14_0_80_31_114	304	518677	11	39	none	518373	0	PEUT00000000.1	541	65	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	311	18	40	0
GB_GCA_003170955.1	0	74.65	2.83	234	p__Euryarchaeota (UID54)	153	20	1331389	84.3601652495	333	858645	54.5828155145	1578220	GB_GCA_003157895.1	f	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__Methanoregula sp003157895	not type material	none	f	78	64	31727	33051	none	0	none	none	4193	1	110	PMXY01000128.1	none	none	none	none	none	none	4724	6922	f	f	t	6708	8065	Scaffold	20110800_E1S	n/a	PRJNA386568	SAMN08179038	333	6708	none	2018-5-25	GCA_003170955.1	derived from metagenome	full	fen_28	none	none	0	0	Methanoregula sp.	0	na	0	none	none	none	none	none	2018/05/25	105	2052170	0	fen_28	Australian Centre for Ecogenomics, The University of Queensland	2052170	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__Methanoregula sp.	4730	1578220	none	0	none	1573490	0	PMXY00000000.1	1882	228	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	5115	19	30	0
